name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABMarkov1_50_1_15,50,1,15,888,6610,5346,37222,13558,2,0,256,9566,146935,425183,43724,22124,749,14531,50072,59915,531526,1063966,188388,2196,19861,677237,4652059,7601034,547242,257022,68087,7860,336894,6909024,75431559,45771091,3122140,28960,2554,132616,3076984,44902112,68737060,32841898,2335278,881,47629,1268197,20495174,33024069,18381200,3336329,
ABMarkov1_50_1_70,50,1,70,888,6610,5346,37222,13558,2,0,221,9565,146935,425183,43724,22124,749,39,1661,39241,531161,1063966,188388,2196,5,275,7091,117644,292098,256879,68087,1,51,1376,23786,58693,52776,16094,0,4,183,4200,11443,10410,3323,0,0,12,457,1922,1849,563,
ABMarkov1_50_1_95,50,1,95,1,98,2806,37216,13558,2,0,0,4,212,4502,17554,22124,749,0,0,7,281,1432,2288,1148,0,0,0,5,57,134,99,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_5_15,50,5,15,2,1641,2724,15,4430,2,0,38,2,189,73263,26300,1,427,2078,41933,21186,414,1047,39957,1139,13,2234,416554,5475541,260690,207,91,3,189,5419,190732,3217881,2393597,13164,1,76,2003,32053,60910,85583,176881,0,20,797,14737,25975,14948,3138,
ABMarkov1_50_5_70,50,5,70,2,1641,2724,15,4430,2,0,0,1,189,73263,26300,1,427,0,0,1,26,1047,39957,1139,0,0,0,1,25,57,91,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_5_95,50,5,95,0,0,0,4,4430,2,0,0,0,0,0,0,1,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_10_15,50,10,15,0,40,1771,11,29,2,0,38,1,0,895,13259,0,3,24,14901,20545,388,0,461,780,2,74,4119,1233576,255645,150,0,1,36,626,7642,31444,578285,12991,0,4,136,2231,3951,2598,1623,0,1,44,879,1611,986,194,
ABMarkov1_50_10_70,50,10,70,0,40,1771,11,29,2,0,0,0,0,895,13259,0,3,0,0,0,0,0,461,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_10_95,50,10,95,0,0,0,0,29,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_15_15,50,15,15,0,0,434,11,0,2,0,38,1,0,5,3174,0,0,3,1964,15805,388,0,5,179,0,15,547,108951,185640,150,0,0,0,4,360,2940,45788,9619,0,0,1,40,164,246,129,0,0,0,2,7,10,6,
ABMarkov1_50_15_70,50,15,70,0,0,434,11,0,2,0,0,0,0,5,3174,0,0,0,0,0,0,0,5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_15_95,50,15,95,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_20_15,50,20,15,0,0,153,10,0,2,0,32,1,0,0,1153,0,0,0,197,9136,380,0,0,77,0,0,15,9879,108479,150,0,0,0,0,0,55,3613,5087,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
ABMarkov1_50_20_70,50,20,70,0,0,153,10,0,2,0,0,0,0,0,1153,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_20_95,50,20,95,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_50_15,50,50,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,17,62,0,0,0,0,0,0,0,72,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_50_70,50,50,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_50_50_95,50,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
