name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFMarkov1_50_1_15,50,1,15,0,0,0,0,0,0,0,44,0,0,0,0,0,0,9403,58053,9655,6,0,0,0,33772,621589,2779553,6607417,89551,0,0,227922,1517817,13742445,83495473,27430153,2599865,5760,212622,10402752,100937750,249626537,149454024,35476487,1603955,61917,4119591,130421692,1969758489,1192348989,100915297,7453033,
AFMarkov1_50_1_70,50,1,70,0,0,0,0,0,0,0,44,0,0,0,0,0,0,9403,58053,9655,6,0,0,0,31994,621396,2779553,6607417,89551,0,0,3597,365461,13003725,83473011,27430153,2599865,5760,253,30038,1681484,58306205,141394038,35465831,1603955,21,2294,139948,5433466,19817485,24003330,7041613,
AFMarkov1_50_1_95,50,1,95,0,0,0,0,0,0,0,44,0,0,0,0,0,0,7527,57841,9655,6,0,0,0,326,57371,2131945,6589583,89551,0,0,2,1105,123500,7061311,20933126,2590706,5760,0,18,2483,187921,1352630,3107020,1246139,0,0,33,3873,30406,78397,65963,
AFMarkov1_50_5_15,50,5,15,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1764,15404,8293,6,0,0,0,2523,114599,532582,1789707,77245,0,0,33017,708124,1046845,14928750,5217432,683386,4781,588,142761,15214201,114905143,11395737,6671745,343834,113,8478,368099,26041835,180502224,47596406,580705,
AFMarkov1_50_5_70,50,5,70,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1764,15404,8293,6,0,0,0,502,114312,532581,1789707,77245,0,0,3,431,188793,14892070,5217432,683386,4781,0,19,1382,65397,2041420,6654647,343834,0,2,138,4998,19515,28850,108032,
AFMarkov1_50_5_95,50,5,95,0,0,0,0,0,0,0,39,0,0,0,0,0,0,172,15042,8293,6,0,0,0,0,8,49791,1758611,77245,0,0,0,0,0,809,480463,666978,4781,0,0,0,0,1,412,24348,0,0,0,0,0,0,0,
AFMarkov1_50_10_15,50,10,15,0,0,0,0,0,0,0,32,0,0,0,0,0,0,538,4180,4898,6,0,0,0,1764,12752,212697,394146,48587,0,0,3307,254540,736282,1860942,2146193,185537,3967,81,6576,1410338,40950652,8077501,704277,91051,20,1326,44116,1203488,16751739,16906914,403686,
AFMarkov1_50_10_70,50,10,70,0,0,0,0,0,0,0,32,0,0,0,0,0,0,538,4180,4898,6,0,0,0,15,12462,212696,394146,48587,0,0,0,18,4717,1823879,2146193,185537,3967,0,0,46,2672,49698,686977,91051,0,0,3,188,677,970,2778,
AFMarkov1_50_10_95,50,10,95,0,0,0,0,0,0,0,32,0,0,0,0,0,0,10,3859,4898,6,0,0,0,0,0,2256,364971,48587,0,0,0,0,0,0,21074,170057,3967,0,0,0,0,0,0,1302,0,0,0,0,0,0,0,
AFMarkov1_50_15_15,50,15,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,214,786,2245,6,0,0,0,1097,2890,68209,97394,21571,0,0,438,81004,456381,333416,689164,34936,659,24,1910,186864,13142097,4896698,154627,36352,5,392,14173,353856,2240327,5351825,245946,
AFMarkov1_50_15_70,50,15,70,0,0,0,0,0,0,0,5,0,0,0,0,0,0,214,786,2245,6,0,0,0,0,2598,68208,97394,21571,0,0,0,0,217,296205,689164,34936,659,0,0,0,26,2098,137260,36352,0,0,0,0,1,11,102,
AFMarkov1_50_15_95,50,15,95,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,595,2245,6,0,0,0,0,0,126,78732,21571,0,0,0,0,0,0,1364,24792,659,0,0,0,0,0,0,90,0,0,0,0,0,0,0,
AFMarkov1_50_20_15,50,20,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,62,365,753,6,0,0,0,637,752,27391,32483,6932,0,0,97,25065,302171,95916,285729,16166,582,1,133,37250,4120285,3218898,39072,8512,0,0,94,22850,429403,1649671,141901,
AFMarkov1_50_20_70,50,20,70,0,0,0,0,0,0,0,4,0,0,0,0,0,0,62,365,753,6,0,0,0,0,475,27390,32483,6932,0,0,0,0,8,59858,285729,16166,582,0,0,0,0,78,22454,8512,0,0,0,0,0,0,1,
AFMarkov1_50_20_95,50,20,95,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,235,753,6,0,0,0,0,0,4,19449,6932,0,0,0,0,0,0,67,8887,582,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
AFMarkov1_50_50_15,50,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,7,64,85,153,51,0,0,0,60,4707,7849,830,63,11,0,0,0,6638,49548,3714,94,0,0,0,0,0,2588,2252,
AFMarkov1_50_50_70,50,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,84,153,51,0,0,0,0,0,30,830,63,11,0,0,0,0,0,15,94,0,0,0,0,0,0,0,
AFMarkov1_50_50_95,50,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,21,51,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_50_500_15,50,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_50_500_70,50,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_50_500_95,50,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_60_1_15,60,1,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7133,28512,1972,0,0,0,0,31299,442016,2033202,3287817,17739,0,0,156196,837340,12548566,59264900,20054114,1289530,1194,212523,9901724,66231363,139154826,136378367,25305415,1192534,61917,4119591,130386187,1878544701,776535639,55579024,6881630,
AFMarkov1_60_1_70,60,1,70,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7133,28512,1972,0,0,0,0,30943,442003,2033202,3287817,17739,0,0,3597,365361,12411516,59263955,20054114,1289530,1194,253,30038,1681484,58292501,134904389,25304863,1192534,21,2294,139948,5433466,19817485,23996078,6806969,
AFMarkov1_60_1_95,60,1,95,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6551,28492,1972,0,0,0,0,326,57357,1819892,3286484,17739,0,0,2,1105,123500,7049644,17871919,1288831,1194,0,18,2483,187921,1352630,3101312,1086462,0,0,33,3873,30406,78397,65963,
AFMarkov1_60_5_15,60,5,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,618,8115,1772,0,0,0,0,875,74509,193144,792615,15883,0,0,25558,352939,328635,9975260,1997799,358654,1194,588,140692,11447475,60010317,3539216,4160305,115194,113,8478,368099,25691594,135752421,23396830,189904,
AFMarkov1_60_5_70,60,5,70,0,0,0,0,0,0,0,10,0,0,0,0,0,0,618,8115,1772,0,0,0,0,481,74494,193144,792615,15883,0,0,3,431,171960,9973946,1997799,358654,1194,0,19,1382,65397,1853768,4159573,115194,0,2,138,4998,19515,28850,105048,
AFMarkov1_60_5_95,60,5,95,0,0,0,0,0,0,0,10,0,0,0,0,0,0,85,8081,1772,0,0,0,0,0,8,34558,790507,15883,0,0,0,0,0,809,334407,357531,1194,0,0,0,0,1,412,12205,0,0,0,0,0,0,0,
AFMarkov1_60_10_15,60,10,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,147,451,510,0,0,0,0,335,5018,36769,58876,5247,0,0,1998,81724,141063,641610,364316,19708,380,81,6576,984942,14377407,1529082,275458,24795,20,1326,44116,1201713,11625477,5760415,69004,
AFMarkov1_60_10_70,60,10,70,0,0,0,0,0,0,0,4,0,0,0,0,0,0,147,451,510,0,0,0,0,15,5003,36769,58876,5247,0,0,0,18,4439,640286,364316,19708,380,0,0,46,2672,46878,274721,24795,0,0,3,188,677,970,2778,
AFMarkov1_60_10_95,60,10,95,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,427,510,0,0,0,0,0,0,1523,56830,5247,0,0,0,0,0,0,14513,18585,380,0,0,0,0,0,0,413,0,0,0,0,0,0,0,
AFMarkov1_60_15_15,60,15,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,72,145,0,0,0,0,217,531,9389,9501,1463,0,0,310,26346,87542,75494,92228,3616,83,24,1910,128336,4488786,958200,31084,6578,5,392,14173,353856,1538230,1723185,42059,
