id	e	k	m	t
0	0	6	2816	32.0
1	0	6	2955	6.0
2	0	6	2781	3.0
3	0	6	3088	4.0
4	0	6	2937	1.0
5	0	6	1949	1.0
6	0	6	2971	1.0
7	0	6	2615	1.0
8	0	6	2981	1.0
9	0	6	2242	1.0
10	0	6	3321	1.0
11	0	6	3185	1.0
12	0	6	1700	1.0
13	0	6	2748	1.0
14	0	6	3105	1.0
15	0	6	3025	1.0
16	0	6	3138	1.0
17	0	6	3030	1.0
18	0	6	2768	1.0
19	0	6	3668	1.0
20	0	6	545	0.0
21	0	6	707	0.0
22	0	6	2400	1.0
23	0	6	2721	1.0
24	0	6	3008	1.0
25	0	6	3014	1.0
26	0	6	2047	1.0
27	0	6	671	0.0
28	0	6	2906	1.0
29	0	6	2526	1.0
30	0	6	2812	1.0
31	0	6	2104	1.0
32	0	6	2943	1.0
33	0	6	2290	1.0
34	0	6	3047	1.0
35	0	6	2594	1.0
36	0	6	3030	1.0
37	0	6	2638	1.0
38	0	6	3371	1.0
39	0	6	2702	1.0
40	0	6	2951	1.0
41	0	6	3060	1.0
42	0	6	3150	1.0
43	0	6	3245	1.0
44	0	6	2818	1.0
45	0	6	3295	1.0
46	0	6	2739	1.0
47	0	6	2964	1.0
48	0	6	1820	1.0
49	0	6	834	0.0
50	0	6	3251	1.0
51	0	6	1827	1.0
52	0	6	2766	1.0
53	0	6	2553	1.0
54	0	6	2627	1.0
55	0	6	3786	1.0
56	0	6	2782	1.0
57	0	6	2811	1.0
58	0	6	2458	1.0
59	0	6	2772	1.0
60	0	6	2591	1.0
61	0	6	3235	1.0
62	0	6	2818	1.0
63	0	6	2943	1.0
64	0	6	3422	1.0
65	0	6	3031	1.0
66	0	6	2665	1.0
67	0	6	2928	1.0
68	0	6	2962	1.0
69	0	6	3331	1.0
70	0	6	2878	1.0
71	0	6	2672	1.0
72	0	6	2892	1.0
73	0	6	2895	1.0
74	0	6	2466	1.0
75	0	6	1357	1.0
76	0	6	3158	1.0
77	0	6	2480	1.0
78	0	6	2732	1.0
79	0	6	3025	1.0
80	0	6	3179	1.0
81	0	6	3333	1.0
82	0	6	3306	1.0
83	0	6	2699	1.0
84	0	6	1217	1.0
85	0	6	2978	1.0
86	0	6	2705	1.0
87	0	6	3030	1.0
88	0	6	3047	1.0
89	0	6	3683	1.0
90	0	6	4095	1.0
91	0	6	1716	1.0
92	0	6	2617	1.0
93	0	6	753	0.0
94	0	6	2891	1.0
95	0	6	2544	1.0
96	0	6	2770	1.0
97	0	6	2892	1.0
98	0	6	2714	1.0
99	0	6	2824	1.0
0	1	6	43228	9.0
1	1	6	44181	9.0
2	1	6	43007	9.0
3	1	6	44584	9.0
4	1	6	43403	9.0
5	1	6	36635	9.0
6	1	6	43915	9.0
7	1	6	41609	9.0
8	1	6	44113	9.0
9	1	6	39354	8.0
10	1	6	45345	9.0
11	1	6	44319	8.0
12	1	6	34384	9.0
13	1	6	43038	8.0
14	1	6	44393	8.0
15	1	6	44097	8.0
16	1	6	44596	9.0
17	1	6	43890	8.0
18	1	6	42752	8.0
19	1	6	46374	15.0
20	1	6	14745	6.0
21	1	6	17991	7.0
22	1	6	39762	10.0
23	1	6	42045	8.0
24	1	6	44098	8.0
25	1	6	44234	8.0
26	1	6	37343	9.0
27	1	6	18021	10.0
28	1	6	43784	9.0
29	1	6	40940	9.0
30	1	6	42770	8.0
31	1	6	37820	9.0
32	1	6	43809	11.0
33	1	6	39282	12.0
34	1	6	44299	10.0
35	1	6	41840	8.0
36	1	6	44212	9.0
37	1	6	41902	8.0
38	1	6	45367	9.0
39	1	6	42120	9.0
40	1	6	43805	8.0
41	1	6	44588	9.0
42	1	6	44000	8.0
43	1	6	45067	14.0
44	1	6	42978	8.0
45	1	6	45109	12.0
46	1	6	41101	8.0
47	1	6	43574	8.0
48	1	6	34112	8.0
49	1	6	19762	10.0
50	1	6	44975	11.0
51	1	6	35395	12.0
52	1	6	40934	9.0
53	1	6	41791	8.0
54	1	6	42195	8.0
55	1	6	46586	8.0
56	1	6	42680	12.0
57	1	6	42597	8.0
58	1	6	38986	8.0
59	1	6	42152	9.0
60	1	6	41877	8.0
61	1	6	45081	11.0
62	1	6	43030	10.0
63	1	6	43925	12.0
64	1	6	45580	8.0
65	1	6	44027	8.0
66	1	6	41939	15.0
67	1	6	43620	9.0
68	1	6	43036	12.0
69	1	6	45349	8.0
70	1	6	42884	8.0
71	1	6	41902	15.0
72	1	6	43672	8.0
73	1	6	43537	9.0
74	1	6	40884	8.0
75	1	6	30485	8.0
76	1	6	44886	8.0
77	1	6	41142	10.0
78	1	6	42424	8.0
79	1	6	44371	12.0
80	1	6	44735	9.0
81	1	6	45289	8.0
82	1	6	45382	9.0
83	1	6	42395	12.0
84	1	6	27123	8.0
85	1	6	43828	8.0
86	1	6	42725	8.0
87	1	6	44302	8.0
88	1	6	44239	15.0
89	1	6	46387	9.0
90	1	6	47103	13.0
91	1	6	34412	8.0
92	1	6	42119	8.0
93	1	6	18931	7.0
94	1	6	43363	8.0
95	1	6	41618	8.0
96	1	6	42602	9.0
97	1	6	43172	10.0
98	1	6	41780	9.0
99	1	6	42556	9.0
0	2	6	230897	56.0
1	2	6	232181	57.0
2	2	6	230675	57.0
3	2	6	232546	65.0
4	2	6	230899	58.0
5	2	6	219664	59.0
6	2	6	231819	67.0
7	2	6	228332	57.0
8	2	6	232007	57.0
9	2	6	224980	68.0
10	2	6	233424	56.0
11	2	6	232002	77.0
12	2	6	215004	58.0
13	2	6	230653	58.0
14	2	6	232258	57.0
15	2	6	231939	56.0
16	2	6	232575	56.0
17	2	6	231563	61.0
18	2	6	230215	57.0
19	2	6	234530	56.0
20	2	6	134355	61.0
21	2	6	151506	55.0
22	2	6	224661	58.0
23	2	6	228841	67.0
24	2	6	231997	56.0
25	2	6	232132	56.0
26	2	6	220999	67.0
27	2	6	153210	57.0
28	2	6	231647	59.0
29	2	6	227346	58.0
30	2	6	230082	57.0
31	2	6	221919	57.0
32	2	6	231617	58.0
33	2	6	224412	58.0
34	2	6	232242	56.0
35	2	6	228931	58.0
36	2	6	232130	56.0
37	2	6	228916	57.0
38	2	6	233408	57.0
39	2	6	229241	56.0
40	2	6	231592	57.0
41	2	6	232641	58.0
42	2	6	231383	56.0
43	2	6	233091	56.0
44	2	6	230324	57.0
45	2	6	233108	56.0
46	2	6	226139	57.0
47	2	6	231245	57.0
48	2	6	211346	58.0
49	2	6	152628	55.0
50	2	6	232993	58.0
51	2	6	217170	58.0
52	2	6	225532	57.0
53	2	6	229015	57.0
54	2	6	229639	59.0
55	2	6	234737	56.0
56	2	6	230094	57.0
57	2	6	229717	57.0
58	2	6	221054	58.0
59	2	6	228767	59.0
60	2	6	229145	58.0
61	2	6	233121	56.0
62	2	6	230647	57.0
63	2	6	231847	56.0
64	2	6	233640	55.0
65	2	6	231874	56.0
66	2	6	228938	57.0
67	2	6	231369	57.0
68	2	6	229940	58.0
69	2	6	233425	56.0
70	2	6	229946	56.0
71	2	6	228793	60.0
72	2	6	231422	57.0
73	2	6	231268	57.0
74	2	6	227451	58.0
75	2	6	204306	58.0
76	2	6	232919	56.0
77	2	6	228075	57.0
78	2	6	229695	58.0
79	2	6	232357	56.0
80	2	6	232688	61.0
81	2	6	233311	55.0
82	2	6	233464	56.0
83	2	6	229826	58.0
84	2	6	188414	59.0
85	2	6	231600	56.0
86	2	6	230376	58.0
87	2	6	232270	56.0
88	2	6	232148	56.0
89	2	6	234540	69.0
90	2	6	235263	60.0
91	2	6	214662	59.0
92	2	6	229486	56.0
93	2	6	157689	57.0
94	2	6	230981	56.0
95	2	6	228753	155.0
96	2	6	229991	57.0
97	2	6	230646	57.0
98	2	6	228090	70.0
99	2	6	229601	57.0
0	3	6	669937	249.0
1	3	6	671221	253.0
2	3	6	669715	252.0
3	3	6	671584	246.0
4	3	6	669927	248.0
5	3	6	658376	270.0
6	3	6	670859	248.0
7	3	6	667350	252.0
8	3	6	671047	252.0
9	3	6	663926	272.0
10	3	6	672464	245.0
11	3	6	671026	248.0
12	3	6	653422	264.0
13	3	6	669691	250.0
14	3	6	671298	248.0
15	3	6	670977	259.0
16	3	6	671615	247.0
17	3	6	670601	250.0
18	3	6	669249	251.0
19	3	6	673570	244.0
20	3	6	526967	239.0
21	3	6	559168	258.0
22	3	6	663445	257.0
23	3	6	667845	255.0
24	3	6	671035	247.0
25	3	6	671170	255.0
26	3	6	659727	262.0
27	3	6	561716	269.0
28	3	6	670683	252.0
29	3	6	666338	254.0
30	3	6	669118	251.0
31	3	6	660751	261.0
32	3	6	670655	247.0
33	3	6	663278	262.0
34	3	6	671282	247.0
35	3	6	667955	251.0
36	3	6	671170	251.0
37	3	6	667924	255.0
38	3	6	672448	247.0
39	3	6	668271	260.0
40	3	6	670632	249.0
41	3	6	671681	248.0
42	3	6	670397	245.0
43	3	6	672131	246.0
44	3	6	669348	253.0
45	3	6	672148	255.0
46	3	6	664937	255.0
47	3	6	670285	251.0
48	3	6	648418	260.0
49	3	6	545888	258.0
50	3	6	672033	250.0
51	3	6	655808	269.0
52	3	6	664204	253.0
53	3	6	668039	255.0
54	3	6	668671	254.0
55	3	6	673777	242.0
56	3	6	669128	249.0
57	3	6	668729	266.0
58	3	6	658626	259.0
59	3	6	667749	259.0
60	3	6	668179	262.0
61	3	6	672161	255.0
62	3	6	669687	258.0
63	3	6	670887	268.0
64	3	6	672680	260.0
65	3	6	670912	262.0
66	3	6	667960	261.0
67	3	6	670409	259.0
68	3	6	668920	259.0
69	3	6	672465	253.0
70	3	6	668944	258.0
71	3	6	667801	257.0
72	3	6	670462	258.0
73	3	6	670306	258.0
74	3	6	666461	263.0
75	3	6	640724	279.0
76	3	6	671959	254.0
77	3	6	667095	262.0
78	3	6	668727	272.0
79	3	6	671397	256.0
80	3	6	671726	267.0
81	3	6	672351	253.0
82	3	6	672504	259.0
83	3	6	668862	265.0
84	3	6	614462	267.0
85	3	6	670638	263.0
86	3	6	669416	251.0
87	3	6	671310	258.0
88	3	6	671188	248.0
89	3	6	673580	256.0
90	3	6	674303	243.0
91	3	6	653036	255.0
92	3	6	668520	259.0
93	3	6	572727	253.0
94	3	6	670019	251.0
95	3	6	667785	252.0
96	3	6	669025	250.0
97	3	6	669684	251.0
98	3	6	667002	253.0
99	3	6	668627	251.0
0	0	7	5504	3.0
1	0	7	5829	3.0
2	0	7	5531	3.0
3	0	7	6114	3.0
4	0	7	6113	2.0
5	0	7	3517	2.0
6	0	7	6221	3.0
7	0	7	5057	2.0
8	0	7	5985	3.0
9	0	7	3890	2.0
10	0	7	7485	3.0
11	0	7	7215	3.0
12	0	7	2884	3.0
13	0	7	5198	3.0
14	0	7	6689	3.0
15	0	7	6483	3.0
16	0	7	7018	3.0
17	0	7	6694	4.0
18	0	7	6014	2.0
19	0	7	9120	4.0
20	0	7	913	1.0
21	0	7	1215	1.0
22	0	7	4522	2.0
23	0	7	5615	3.0
24	0	7	6130	3.0
25	0	7	6180	3.0
26	0	7	3835	3.0
27	0	7	1079	1.0
28	0	7	6078	3.0
29	0	7	4950	2.0
30	0	7	5948	3.0
31	0	7	3988	2.0
32	0	7	5803	3.0
33	0	7	4304	3.0
34	0	7	6143	2.0
35	0	7	4808	3.0
36	0	7	6308	3.0
37	0	7	5288	4.0
38	0	7	7929	4.0
39	0	7	5608	3.0
40	0	7	5783	3.0
41	0	7	6174	3.0
42	0	7	7552	3.0
43	0	7	6999	3.0
44	0	7	5612	3.0
45	0	7	7187	3.0
46	0	7	5951	3.0
47	0	7	6444	2.0
48	0	7	3140	2.0
49	0	7	1458	1.0
50	0	7	7471	4.0
51	0	7	3209	2.0
52	0	7	6588	3.0
53	0	7	4617	2.0
54	0	7	5005	3.0
55	0	7	10248	4.0
56	0	7	5696	3.0
57	0	7	5909	3.0
58	0	7	5026	2.0
59	0	7	5622	3.0
60	0	7	5201	3.0
61	0	7	6675	3.0
62	0	7	5814	3.0
63	0	7	6137	3.0
64	0	7	7984	3.0
65	0	7	6875	3.0
66	0	7	5499	3.0
67	0	7	6170	3.0
68	0	7	6840	3.0
69	0	7	7401	3.0
70	0	7	6076	4.0
71	0	7	5314	3.0
72	0	7	5740	3.0
73	0	7	6111	4.0
74	0	7	4846	2.0
75	0	7	2175	1.0
76	0	7	6440	3.0
77	0	7	4578	4.0
78	0	7	5412	3.0
79	0	7	5941	3.0
80	0	7	6905	3.0
81	0	7	7631	3.0
