e	k	t
0	6	1.3600000000000008
1	6	9.200000000000003
2	6	59.070000000000014
3	6	255.23000000000002
0	7	2.8099999999999974
1	7	38.440000000000005
2	7	330.63
3	7	1745.690000000001
0	8	5.919999999999995
1	8	101.43999999999998
2	8	1082.2399999999998
3	8	7210.84
0	9	5.489999999999994
1	9	132.5
2	9	1904.0200000000002
3	9	16502.370000000006
0	10	6.749999999999995
1	10	150.69
2	10	2469.12
3	10	26194.7
0	11	6.349999999999992
1	11	165.57999999999998
2	11	2781.809999999999
3	11	32281.829999999994
0	12	6.639999999999994
1	12	170.11999999999998
2	12	2960.169999999999
3	12	36383.91000000001
